"","Id","UserSteps","UserDistance","UserCalories"
"1","1503960366",375619,242.099998951,56309
"2","1624580081",178061,121.360000615,45984
"3","1644430081",218489,158.860000617,84339
"4","1844505072",79982,52.890000142,48778
"5","1927972279",28400,19.669999818,67357
"6","2022484408",352490,250.609998225,77809
"7","2026352035",172573,107.100000177,47760
"8","2320127002",146223,98.819999038,53449
"9","2347167796",171354,114.399999647,36782
"10","2873212765",234229,158.149998665,59426
"11","3372868164",137233,94.140000822,38662
"12","3977333714",329537,225.509998319,45410
"13","4020332650",70284,50.410000207,73960
"14","4057192912",15352,11.450000048,7895
"15","4319703577",225334,151.659999458,63168
"16","4388161847",335232,260.190002682,95910
"17","4445114986",148693,100.619999646,67772
"18","4558609924",238239,157.500000477,63031
"19","4702921684",265734,215.609999784,91932
"20","5553957443",266990,174.830000951,58146
"21","5577150313",249133,186.39999914,100789
"22","6117666160",197308,149.580001593,63312
"23","6290855005",163837,123.900000333,75389
"24","6775888955",65512,47.14999942,55426
"25","6962181067",303639,204.160000803,61443
"26","7007744171",294409,208.399999377,66144
"27","7086361926",290525,198.02999974,79557
"28","8053475328",457662,355.729997176,91320
"29","8253242879",123161,88.6800009,33972
"30","8378563200",270249,214.320002325,106534
"31","8583815059",223154,174.07999849,84693
"32","8792009665",53758,34.409999787,56907
"33","8877689391",497241,409.599997296,106028
